title,type,Episodes,Status,Aired,Premiered,Producers,Licensors,Studios,Source,Genres,Duration,Rating,Score,Rank,Popularity,Members
Vampire Holmes,TV,12,Finished Airing,"Apr 4, 2015 to Jun 20, 2015",Spring 2015,CUCURI,-,Studio! Cucuri,Game,"Mystery,Comedy,Supernatural",3 min. per ep.,PG-13 - Teens 13 or older,3.39,10699,3933,"15,617"
Nekoronde TV.,TV,12,Finished Airing,2014,,Nippon Television Network,-,-,Unknown,Comedy,4 min. per ep.,G - All Ages,N/A,10730,15801,129
Ni Zai Xing Guang Shen Chu,ONA,12,Finished Airing,"Dec 15, 2019 to Feb 23, 2020",,bilibili,-,-,Novel,"Sci-Fi,Mystery",Unknown,PG-13 - Teens 13 or older,N/A,10749,13155,300
Nihon Omoshiro Mukashibanashi,TV,12,Finished Airing,"Nov 28, 2011 to Feb 13, 2012",Fall 2011,Crossphere,-,-,Unknown,"Comedy,Historical,Parody",12 min. per ep.,G - All Ages,N/A,10757,13470,269
Noramimi,TV,12,Finished Airing,"Jan 9, 2008 to Mar 26, 2008",Winter 2008,-,-,TMS Entertainment,Manga,Comedy,20 min. per ep.,G - All Ages,N/A,10831,10726,774
Nu Sheng Su She Ri Chang,TV,12,Finished Airing,"Nov 30, 2016 to Feb 22, 2017",Fall 2016,-,-,-,Original,"Slice of Life,Comedy",13 min. per ep.,PG-13 - Teens 13 or older,N/A,10848,15934,122
Nyamen,TV,12,Finished Airing,"Jan 12, 2014 to Mar 30, 2014",Winter 2014,"VAP,Nikkatsu,Nippon Television Network",-,-,Unknown,Comedy,5 min. per ep.,G - All Ages,N/A,10853,10335,934
Oniku Daisuki! Zeushi-kun,TV,12,Finished Airing,"Jan 6, 2014 to Mar 24, 2014",Winter 2014,-,-,DLE,Original,Comedy,1 min. per ep.,G - All Ages,N/A,10970,12749,341
Perestroika,OVA,12,Finished Airing,24-Oct-08,,"Toho,Robot Communications",-,-,Original,Comedy,2 min. per ep.,G - All Ages,N/A,11138,15817,128
Pic-lele,TV,12,Finished Airing,"Dec 7, 2013 to Mar 29, 2014",Winter 2014,MMDGP,-,Kachidoki Studio,Unknown,Kids,1 min. per ep.,PG - Children,N/A,11153,15380,151
